Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,56.266262,57.403526,37.408676,46.353531,35.846489,160431600
2020-04-01,44.998493,47.680008,42.538048,45.760998,35.388268,117286000
2020-05-01,44.834297,48.008045,40.274597,45.244343,35.718826,84848400
2020-06-01,45.309948,50.681538,44.448856,46.072632,36.372726,116375300
2020-07-01,46.581089,47.911652,44.761978,45.836868,36.186600,102239400
2020-08-01,45.828533,49.153187,45.828533,46.970081,37.809193,52781700
2020-09-01,46.786770,47.170059,44.611996,46.095173,37.104923,114448700
2020-10-01,46.270157,48.574402,45.661293,46.872269,37.730465,117178700
2020-11-01,47.168659,55.323669,46.669025,53.519917,43.927471,84391200
2020-12-01,54.705482,58.677135,54.705482,58.262184,47.819775,102367200
2021-01-01,58.553925,61.068035,57.858898,58.519604,48.031067,88717000
2021-02-01,58.777020,66.001877,58.596828,63.839565,53.219624,59117200
2021-03-01,64.448792,68.781982,63.985435,67.460571,56.238266,111343500
2021-04-01,67.615028,68.368164,66.354523,67.934189,56.633099,90225700
2021-05-01,68.255325,70.867851,67.751923,70.485954,59.551025,58724500
2021-06-01,70.989357,71.475410,68.741379,69.973862,59.118370,93908300
2021-07-01,70.520668,70.720299,67.196625,68.346413,57.743397,93904500
2021-08-01,68.355194,71.365700,67.986557,68.592171,58.702518,50668700
2021-09-01,68.671165,69.662964,66.564682,68.425407,58.559795,98935700
2021-10-01,68.600945,73.789940,67.960228,72.040863,61.653976,94741200
2021-11-01,72.484787,74.571259,70.691315,70.833374,61.421371,63885300
2021-12-01,71.907684,81.478798,71.712349,80.388626,69.706955,101165300
2022-01-01,81.465858,83.790894,78.341881,82.192993,72.162193,99040300
2022-02-01,82.318672,85.281067,78.683006,82.453323,72.390739,59179700
2022-03-01,82.605934,84.679611,80.343742,80.433510,70.617432,112682000
2022-04-01,81.052925,81.446671,73.765938,73.856720,64.843269,108163000
2022-05-01,74.192642,78.051170,71.986473,77.878670,69.240334,52825100
2022-06-01,78.069328,78.278137,68.118866,69.162941,61.491367,119690700
2022-07-01,68.309525,71.169373,64.650734,70.824379,62.968521,90024200
2022-08-01,70.515694,74.428696,65.876381,65.930855,58.617783,62946500
2022-09-01,65.594940,67.410713,59.457615,59.648270,53.032055,130270000
2022-10-01,59.952644,62.461433,58.283195,60.736641,53.999710,111156800
2022-11-01,61.243931,66.178497,59.648270,64.730408,58.561722,71513800
2022-12-01,64.748856,64.942551,59.085636,61.188591,55.357437,121570800
2023-01-01,61.835049,67.493889,60.823200,67.484520,61.053375,109722100
2023-02-01,67.512627,69.714333,62.865631,63.184177,58.141556,56614100
2023-03-01,63.137333,66.425835,59.820724,63.774422,58.684692,123258500
2023-04-01,63.498547,65.800667,63.003876,64.335678,59.201157,86229200
2023-05-01,64.497398,64.754250,61.719635,62.376026,58.340134,55901500
2023-06-01,62.499695,63.745880,60.130981,63.051441,58.971844,92751000
2023-07-01,63.312462,65.294304,60.953594,64.192207,60.038803,96920900
2023-08-01,64.027855,64.114868,59.416458,61.988014,58.968586,58087700
2023-09-01,62.471390,63.486477,59.455132,59.879490,56.962765,91191500
2023-10-01,59.899162,60.027027,54.292835,55.227226,53.482948,77254900
2023-11-01,55.423939,60.292587,54.912483,59.702450,57.816830,69048000
2023-12-01,59.604092,63.528522,58.640198,63.439999,61.436333,110928400
2024-01-01,63.180000,64.269997,60.830002,62.869999,60.884335,96079400
2024-02-01,62.820000,66.599998,61.570000,65.809998,64.814445,66562600
2024-03-01,66.070000,70.400002,65.809998,70.070000,69.010002,90171900
2024-04-01,68.900002,69.050003,66.239998,66.410004,65.405373,47193100
